iter	RMSE
0	0.9546088363
1	0.9120416777
2	0.8812291129
3	0.8428512124
4	0.8069047256
5	0.7733304106
6	0.7514468186
7	0.7302482664
8	0.7099111552
9	0.6901468354
10	0.670716633
11	0.6525546646
12	0.6347193052
13	0.6175483768
14	0.6034627478
15	0.5871615367
16	0.5737284413
17	0.5604785259
18	0.5475792758
19	0.5357010244
20	0.523664948
21	0.5125915521
22	0.5014927947
23	0.4910532329
24	0.4804362146
25	0.4702380239
26	0.4601838252
27	0.4506159096
28	0.4412626062
29	0.4322619337
30	0.423766747
31	0.4164777193
32	0.4082719483
33	0.4000440668
34	0.3922918039
35	0.3849067657
36	0.3778116694
37	0.370647737
38	0.3625268156
39	0.3560534169
40	0.3496535186
41	0.3431749106
42	0.3373120245
43	0.3316807869
44	0.3261797768
45	0.3248776539
46	0.3195152952
47	0.3189050645
48	0.3136335783
49	0.3127012069
50	0.3075936271
51	0.3024478966
52	0.2978342159
53	0.2931185293
54	0.2888292694
55	0.2877691662
56	0.2835495934
57	0.2795793145
58	0.2757470939
59	0.2716306944
60	0.2679383271
61	0.264452154
62	0.2640515258
63	0.2600959809
64	0.259469284
65	0.2561490621
66	0.2539106456
67	0.2506708381
68	0.2476486147
69	0.2448451341
70	0.2419124993
71	0.2392908223
72	0.2365834675
73	0.2361872003
74	0.2331974025
75	0.230310135
76	0.228042732
77	0.2273170762
78	0.2249007272
79	0.2243284116
80	0.2239617194
81	0.2215924598
82	0.2202218269
83	0.2198892326
84	0.2179289381
85	0.2175242202
86	0.2168330989
87	0.2157134646
88	0.2153991644
89	0.2143998504
90	0.2121683465
91	0.2101431154
92	0.2084287533
93	0.2066981794
94	0.2062801677
95	0.2046246621
96	0.2029235767
97	0.2025165902
98	0.2020926153
99	0.2005347095
