iter	Passed	Remaining
0	21	2079
1	40	1970
2	58	1888
3	79	1908
4	100	1900
5	116	1820
6	136	1811
7	153	1769
8	173	1753
9	189	1708
10	211	1708
11	227	1665
12	245	1642
13	265	1631
14	285	1617
15	305	1604
16	327	1599
17	346	1577
18	363	1549
19	379	1517
20	396	1490
21	414	1468
22	431	1445
23	447	1417
24	467	1401
25	486	1383
26	504	1363
27	521	1340
28	538	1318
29	555	1295
30	568	1265
31	585	1244
32	600	1219
33	618	1200
34	636	1181
35	653	1161
36	667	1136
37	685	1118
38	702	1099
39	719	1079
40	736	1059
41	754	1042
42	771	1022
43	788	1003
44	806	985
45	826	970
46	845	953
47	864	936
48	883	919
49	901	901
50	919	883
51	937	865
52	953	845
53	971	827
54	988	808
55	1004	789
56	1025	773
57	1040	753
58	1058	735
59	1077	718
60	1097	701
61	1115	683
62	1134	666
63	1152	648
64	1173	631
65	1191	613
66	1210	596
67	1229	578
68	1248	560
69	1266	542
70	1287	525
71	1306	508
72	1325	490
73	1343	472
74	1361	453
75	1380	435
76	1398	417
77	1419	400
78	1441	383
79	1461	365
80	1479	347
81	1498	328
82	1517	310
83	1530	291
84	1548	273
85	1566	255
86	1584	236
87	1601	218
88	1618	199
89	1635	181
90	1654	163
91	1672	145
92	1690	127
93	1706	108
94	1725	90
95	1741	72
96	1758	54
97	1776	36
98	1794	18
99	1813	0
